roastid,min,sec,temperature
1,10,0,160
1,6,0,180
1,4,0,190
1,2,0,200
1,1,0,210
2,19,0,95
2,11,0,167
2,10,0,182
2,9,0,178
2,8,0,181
2,6,0,191
2,4,30,200
2,3,0,205
2,1,0,215
3,19,0,85
3,15,0,133
3,6,30,185
3,5,0,195
3,4,30,200
3,3,0,208
3,2,0,213
3,1,0,217
4,20,0,81
4,4,0,205
5,19,0,72
5,16,0,105
5,13,30,130
5,12,0,148
5,10,0,165
5,6,0,185
5,5,0,189
5,3,0,200
6,19,0,76
6,16,0,110
6,14,0,133
6,12,0,150
6,10,0,165
6,7,0,182
6,5,0,190
6,3,0,203
7,20,0,75
7,17,30,116
7,16,0,130
7,13,0,152
7,10,0,174
7,7,0,185
7,4,30,200
7,3,0,208
8,20,30,69
8,14,30,141
9,17,0,97
9,14,0,130
9,4,0,200
10,19,44,81
10,19,25,85
10,12,0,161
10,90,0178
10,6,0,190
10,3,30,206
10,2,0,210
11,18,0,110
11,16,0,132
11,4,40,200
11,2,30,210
12,20,0,80
12,14,30,140
12,3,30,204
13,18,45,87
13,13,0,145
13,8,21,177
13,4,0,200
13,0,15,215
14,19,44,75
14,17,25,105
14,17,0,110
14,12,0,154
14,10,30,166
14,9,0,175
14,7,0,182
14,5,30,190
14,4,20,195
14,3,25,200
15,19,31,71
16,20,30,75
16,17,30,115
16,15,0,138
16,12,0,163
16,10,0,175
16,7,0,188
16,1,50,212
17,19,30,77
17,13,30,142
17,12,0,153
17,14,0,162
17,6,0,187
17,3,0,202
17,2,0,209
18,10,0,168
18,3,30,200
19,20,30,75
19,18,30,108
19,8,30,181
19,3,30,207
19,2,30,210
20,20,30,75
20,18,0,110
28,11,0,167
20,8,0,181
20,3,30,204
21,20,30,75
21,13,30,148
21,10,0,174
21,6,30,187
21,4,0,202
21,3,0,208
22,18,14,90
22,6,30,183
22,1,40,207
23,19,25,73
23,7,23,179
23,6,30,182
24,19,30,101
24,14,0,131
24,11,0,157
24,5,0,193
24,2,0,212
24,1,30,213
25,20,30,74
25,18,0,106
25,14,20,141
25,14,0,145
25,9,0,177
25,8,0,180
25,5,30,191
25,4,0,199
25,2,30,208
26,20,0,71
26,18,0,104
26,16,30,122
26,10,30,170
26,9,15,176
26,2,30,207
27,7,0,179
27,5,0,187
28,18,0,107
28,9,0,180
28,3,20,205
29,20,40,73
29,13,0,152
29,9,0,180
29,6,0,192
30,16,0,125
30,11,30,162
30,2,0,206
31,19,30,73
31,15,0,131
31,12,0,147
31,5,0,190
31,1,0,211
32,19,30,72
32,2,0,206
33,18,0,88
33,11,0,158
33,9,0,170
33,8,0,178
33,2,50,200
34,18,0,91
34,12,0,150
34,3,30,196
35,19,30,74
35,7,30,178
35,3,0,200
36,8,0,176
37,10,40,158
37,6,40,181
38,20,30,77
38,17,0,117
38,5,0,195
39,19,30,75
39,2,0,208
40,19,30,74
41,19,30,75
41,14,0,137
41,13,0,145
41,4,0,197
41,3,0,201
41,2,0,208
42,19,35,75
42,8,30,175
42,5,30,186
42,1,30,208
43,19,30,74
43,18,30,83
43,17,0,105
43,13,0,144
43,8,0,176
43,2,0,205

