id,year,month,day,bean,crop,weight,time,eject,roast
1,2019,12,2,Gesha,2019,250,20,0,2
2,2019,12,4,Pacamara Washed,2017,200,20,0,4
3,2019,12,4,Pacamara Natural,2017,200,20,-30,5
4,2019,12,4,Gesha,2019,200,21,-50,4
5,2019,12,4,Pacamara Peaberry,2017,200,20,0,5
6,2019,12,4,Pacamara Natural,2017,200,20.5,30,4
7,2019,12,5,Pacamara Washed,2017,225,21,0,4
8,2019,12,5,Pacamara Washed,2017,225,21,0,3
9,2019,12,5,Pacamara Washed,2017,225,21,10,3
10,2019,12,5,Pacamara Washed,2017,225,21,0,3
11,2019,12,5,Burbon,2019,210,21,-20,3
12,2019,12,5,Burbon,2019,210,21,-20,3
13,2019,12,11,Burbon,2019,220,20,0,3
14,2019,12,13,Caturra Honey,2017,210,20,-60,3
15,2019,12,13,Caturra Honey,2017,240,20,0,3
16,2019,12,29,Burbon,2019,250,21,0,2
17,2019,12,29,Caturra Honey,2017,210,20,30,4
18,2019,12,29,Caturra Honey,2017,210,20,0,3
19,2020,1,4,Gesha,2017,225,21,-30,4
20,2020,1,4,Caturra Honey,2017,240,21,-10,4
21,2020,1,5,Pacamara Natural,2017,230,21,-30,4
22,2020,2,8,Caturra Honey,2019,240,20,0,4
23,2020,2,8,Caturra Honey,2019,240,20,0,4
24,2020,2,8,Caturra Honey,2019,240,21,-30,3
25,2020,3,14,Pacamara Peaberry,2017,240,21,-90,3
26,2020,3,14,Pacamara Peaberry,2017,240,21,-75,3
27,2020,3,26,Caturra Honey,2017,240,21,-30,3
28,2020,4,5,Caturra Honey,2019,240,21,-80,3
29,2020,4,5,Pacamara Natural,2017,240,21,-70,2
30,2020,4,9,Caturra Honey,2017,240,21,-70,2
31,2020,4,15,Pacamara Natural,2017,240,20,-30,3
32,2020,4,15,Pacamara Washed,2017,242,20,-20,2
33,2020,4,15,Javanica,2019,240,20,0,3
34,2020,4,24,Pacamara Peaberry,2017,240,20,-60,3
35,2020,4,25,Caturra,2017,240,20,0,3
36,2020,4,25,Pacamara Washed,2017,240,20,0,3
37,2020,5,2,Pacamara Washed,2017,240,20,0,3
38,2020,5,5,Caturra Honey,2017,240,21,0,5
39,2020,5,10,Pacamara Washed,2017,240,20,-20,3
40,2020,5,11,Pacamara Washed,2017,240,20,-15,3
41,2020,5,16,Pacamara Natural,2017,240,20,-20,3
42,2020,5,16,pacamara Natural,2017,240,20,-25,2
